assists_away_team,assists_home_team,attendance,away_goals,away_goals_details,away_manager,away_team,blocks_away_team,blocks_home_team,clearances_away_team,clearances_home_team,corners_away_team,corners_home_team,crosses_away_team,crosses_home_team,date,fouls_away_team,fouls_home_team,free_kicks_away_team,free_kicks_home_team,handballs_away_team,handballs_home_team,home_goals,home_goals_details,home_manager,home_team,offsides_away_team,offsides_home_team,penalties_away_team,penalties_home_team,red_cards_away_team,red_cards_home_team,referee,result,saves_away_team,saves_home_team,season,shots_off_target_away_team,shots_off_target_home_team,shots_on_target_away_team,shots_on_target_home_team,throw_ins_away_team,throw_ins_home_team,total_shots_away_team,total_shots_home_team,venue,yellow_cards_away_team,yellow_cards_home_team
1,0,54557,1,Marcus Rashford (16),Louis van Gaal,Man Utd,5,1,23,29,5,11,8,22,Sunday 20 March 2016,12,9,11,13,1,1,0,,Manuel Pellegrini,Man City,1,2,0,0,0,0,Michael Oliver,0-1,3,3,2015-2016,0,16,4,3,27,28,4,19,Etihad Stadium,1,1
0,2,36084,0,,Eddie Howe,Bournemouth,1,0,29,25,5,4,18,10,Sunday 20 March 2016,6,11,13,11,0,0,3,"Harry Kane (1, 16),Christian Eriksen (52)",Mauricio Pochettino,Spurs,5,3,0,0,0,0,Neil Swarbrick,3-0,4,0,2015-2016,2,8,0,8,36,25,2,16,White Hart Lane,1,0
0,1,52311,1,Jermain Defoe (44),Sam Allardyce,Sunderland,2,3,34,31,5,2,3,19,Sunday 20 March 2016,7,14,14,7,0,0,1,Aleksandar Mitrovic (83),Rafael Benítez,Newcastle,1,1,0,0,0,0,Martin Atkinson,1-1,6,3,2015-2016,7,7,4,8,17,29,11,15,St. James' Park,1,4
2,3,31596,2,"Philippe Coutinho (17),Daniel Sturridge (22)",Jürgen Klopp,Liverpool,5,4,24,31,5,3,11,17,Sunday 20 March 2016,13,10,13,12,0,1,3,"Sadio Mané (64, 86),Graziano Pellè (83)",Ronald Koeman,Southampton,2,3,0,1,0,0,Roger East,3-2,2,6,2015-2016,3,6,8,5,23,13,11,11,St. Mary's Stadium,3,1
0,1,20454,0,,Rémi Garde,Aston Villa,3,6,23,49,6,4,27,14,Saturday 19 March 2016,10,9,12,9,0,1,1,Federico Fernández (53),Francesco Guidolin,Swansea,0,3,0,0,0,0,Mike Dean,1-0,0,2,2015-2016,4,6,2,1,31,28,6,7,Liberty Stadium,2,3
1,0,41623,2,"Manuel Lanzini (17),Andy Carroll (61)",Slaven Bilic,West Ham,6,4,27,18,9,10,8,20,Saturday 19 March 2016,14,13,13,13,1,2,2,"Cesc Fàbregas (45+3, 89 Pen)",Guus Hiddink,Chelsea,2,1,0,1,0,0,Robert Madley,2-2,3,3,2015-2016,3,11,6,5,8,20,9,16,Stamford Bridge,5,3
1,0,25041,1,Riyad Mahrez (34),Claudio Ranieri,Leicester,2,2,44,26,7,10,22,30,Saturday 19 March 2016,13,9,9,13,0,0,0,,Alan Pardew,Crystal Palace,0,0,0,0,0,0,Mike Jones,0-1,4,2,2015-2016,3,7,3,4,19,34,6,11,Selhurst Park,1,1
2,1,20759,2,"Jonathan Walters (18),Joselu (51)",Mark Hughes,Stoke,1,1,38,16,2,9,19,25,Saturday 19 March 2016,14,10,12,18,0,0,1,Troy Deeney (86),Enrique Sánchez Flores,Watford,4,2,0,0,0,0,Craig Pawson,1-2,3,4,2015-2016,2,4,6,4,20,29,8,8,Vicarage Road,1,3
1,0,25039,1,Robbie Brady (50),Alex Neil,Norwich,3,2,49,36,3,4,19,16,Saturday 19 March 2016,13,8,11,15,0,0,0,,Tony Pulis,West Brom,2,4,0,0,0,0,Anthony Taylor,0-1,0,0,2015-2016,4,6,1,0,31,26,5,6,The Hawthorns,2,1
2,0,39270,2,"Danny Welbeck (7),Alex Iwobi (42)",Arsène Wenger,Arsenal,1,4,32,15,5,7,7,29,Saturday 19 March 2016,10,7,8,13,0,1,0,,Roberto Martinez,Everton,3,1,0,0,0,0,Mark Clattenburg,0-2,2,1,2015-2016,4,5,3,2,19,27,7,7,Goodison Park,0,0
0,1,31824,0,,Rafael Benítez,Newcastle,6,5,26,19,4,8,16,21,Monday 14 March 2016,9,4,4,9,0,0,1,Shinji Okazaki (25),Claudio Ranieri,Leicester,1,0,0,0,0,0,Craig Pawson,1-0,0,2,2015-2016,5,3,2,1,26,33,7,4,King Power Stadium,0,0
2,0,32393,2,"Harry Kane (45, 48)",Mauricio Pochettino,Spurs,4,5,37,25,8,5,9,22,Sunday 13 March 2016,6,6,9,8,0,1,0,,Rémi Garde,Aston Villa,2,3,0,0,0,0,Anthony Taylor,0-2,2,6,2015-2016,6,6,8,2,22,27,14,8,Villa Park,0,0
1,2,11179,2,"Modou Barrow (39),Gylfi Sigurdsson (62)",Alan Curtis,Swansea,2,1,24,24,3,5,16,11,Saturday 12 March 2016,11,12,13,12,0,0,3,"Max Gradel (37),Joshua King (50),Steve Cook (78)",Eddie Howe,Bournemouth,1,1,0,0,0,0,Roger East,3-2,1,2,2015-2016,7,6,4,4,32,30,11,10,Vitality Stadium,0,1
